,data,range,model,best_params,Accuracy
42,Electricity_data,1000,DecisionTree,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 20}",0.6804
43,Electricity_data,1000,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.97, 'n_estimators': 16}",0.8195
44,Electricity_data,1000,XGBoost,"{'colsample_bytree': 0.8, 'eta': 0.5, 'max_depth': 8, 'subsample': 0.6}",0.5872
45,Electricity_data,1500,DecisionTree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.6067
46,Electricity_data,1500,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.99, 'n_estimators': 10}",0.8159000000000001
47,Electricity_data,1500,XGBoost,"{'colsample_bytree': 0.8, 'eta': 0.4, 'max_depth': 10, 'subsample': 0.6}",0.5923999999999999
48,Electricity_data,3000,DecisionTree,"{'criterion': 'entropy', 'max_depth': 8, 'min_samples_leaf': 20}",0.6509
49,Electricity_data,3000,AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 0.99, 'n_estimators': 10}",0.8195
50,Electricity_data,3000,XGBoost,"{'colsample_bytree': 0.6, 'eta': 0.3, 'max_depth': 6, 'subsample': 0.8}",0.5591
51,EEG_data,5000,DecisionTree,"{'criterion': 'gini', 'max_depth': 16, 'min_samples_leaf': 10}",0.6204
52,EEG_data,5000,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.98, 'n_estimators': 2}",0.5308000000000002
53,EEG_data,5000,XGBoost,"{'colsample_bytree': 0.7, 'eta': 0.4, 'max_depth': 8, 'subsample': 0.8}",0.6282
54,EEG_data,10000,DecisionTree,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 20}",0.6246999999999999
55,EEG_data,10000,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.97, 'n_estimators': 10}",0.6146
56,EEG_data,10000,XGBoost,"{'colsample_bytree': 0.7, 'eta': 0.3, 'max_depth': 10, 'subsample': 0.8}",0.6424
57,Electricity_data,5000,DecisionTree,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5}",0.8195
58,Electricity_data,5000,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.97, 'n_estimators': 8}",0.8169000000000001
59,Electricity_data,5000,XGBoost,"{'colsample_bytree': 0.8, 'eta': 0.5, 'max_depth': 10, 'subsample': 0.6}",0.5946
60,Electricity_data,10000,DecisionTree,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5}",0.8195
61,Electricity_data,10000,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 0.97, 'n_estimators': 10}",0.8211
62,Electricity_data,10000,XGBoost,"{'colsample_bytree': 0.8, 'eta': 0.5, 'max_depth': 6, 'subsample': 0.8}",0.5999000000000001
